numeric_id,ISO3,name
242,FJI,Fiji
834,TZA,Tanzania
732,ESH,W. Sahara
124,CAN,Canada
840,USA,United States of America
398,KAZ,Kazakhstan
860,UZB,Uzbekistan
598,PNG,Papua New Guinea
360,IDN,Indonesia
032,ARG,Argentina
152,CHL,Chile
180,COD,Dem. Rep. Congo
706,SOM,Somalia
404,KEN,Kenya
729,SDN,Sudan
148,TCD,Chad
332,HTI,Haiti
214,DOM,Dominican Rep.
643,RUS,Russia
044,BHS,Bahamas
238,FLK,Falkland Is.
578,NOR,Norway
304,GRL,Greenland
260,ATF,Fr. S. Antarctic Lands
626,TLS,Timor-Leste
710,ZAF,South Africa
426,LSO,Lesotho
484,MEX,Mexico
858,URY,Uruguay
076,BRA,Brazil
068,BOL,Bolivia
604,PER,Peru
170,COL,Colombia
591,PAN,Panama
188,CRI,Costa Rica
558,NIC,Nicaragua
340,HND,Honduras
222,SLV,El Salvador
320,GTM,Guatemala
084,BLZ,Belize
862,VEN,Venezuela
328,GUY,Guyana
740,SUR,Suriname
250,FRA,France
218,ECU,Ecuador
630,PRI,Puerto Rico
388,JAM,Jamaica
192,CUB,Cuba
716,ZWE,Zimbabwe
072,BWA,Botswana
516,NAM,Namibia
686,SEN,Senegal
466,MLI,Mali
478,MRT,Mauritania
204,BEN,Benin
562,NER,Niger
566,NGA,Nigeria
120,CMR,Cameroon
768,TGO,Togo
288,GHA,Ghana
384,CIV,Côte d'Ivoire
324,GIN,Guinea
624,GNB,Guinea-Bissau
430,LBR,Liberia
694,SLE,Sierra Leone
854,BFA,Burkina Faso
140,CAF,Central African Rep.
178,COG,Congo
266,GAB,Gabon
226,GNQ,Eq. Guinea
894,ZMB,Zambia
454,MWI,Malawi
508,MOZ,Mozambique
748,SWZ,eSwatini
024,AGO,Angola
108,BDI,Burundi
376,ISR,Israel
422,LBN,Lebanon
450,MDG,Madagascar
275,PSE,Palestine
270,GMB,Gambia
788,TUN,Tunisia
012,DZA,Algeria
400,JOR,Jordan
784,ARE,United Arab Emirates
634,QAT,Qatar
414,KWT,Kuwait
368,IRQ,Iraq
512,OMN,Oman
548,VUT,Vanuatu
116,KHM,Cambodia
764,THA,Thailand
418,LAO,Laos
104,MMR,Myanmar
704,VNM,Vietnam
408,PRK,North Korea
410,KOR,South Korea
496,MNG,Mongolia
356,IND,India
050,BGD,Bangladesh
064,BTN,Bhutan
524,NPL,Nepal
586,PAK,Pakistan
004,AFG,Afghanistan
762,TJK,Tajikistan
417,KGZ,Kyrgyzstan
795,TKM,Turkmenistan
364,IRN,Iran
760,SYR,Syria
051,ARM,Armenia
752,SWE,Sweden
112,BLR,Belarus
804,UKR,Ukraine
616,POL,Poland
040,AUT,Austria
348,HUN,Hungary
498,MDA,Moldova
642,ROU,Romania
440,LTU,Lithuania
428,LVA,Latvia
233,EST,Estonia
276,DEU,Germany
100,BGR,Bulgaria
300,GRC,Greece
792,TUR,Turkey
008,ALB,Albania
191,HRV,Croatia
756,CHE,Switzerland
442,LUX,Luxembourg
056,BEL,Belgium
528,NLD,Netherlands
620,PRT,Portugal
724,ESP,Spain
372,IRL,Ireland
540,NCL,New Caledonia
090,SLB,Solomon Is.
554,NZL,New Zealand
036,AUS,Australia
144,LKA,Sri Lanka
156,CHN,China
158,TWN,Taiwan
380,ITA,Italy
208,DNK,Denmark
826,GBR,United Kingdom
352,ISL,Iceland
031,AZE,Azerbaijan
268,GEO,Georgia
608,PHL,Philippines
458,MYS,Malaysia
096,BRN,Brunei
705,SVN,Slovenia
246,FIN,Finland
703,SVK,Slovakia
203,CZE,Czechia
232,ERI,Eritrea
392,JPN,Japan
600,PRY,Paraguay
887,YEM,Yemen
682,SAU,Saudi Arabia
010,ATA,Antarctica
,,N. Cyprus
196,CYP,Cyprus
504,MAR,Morocco
818,EGY,Egypt
434,LBY,Libya
231,ETH,Ethiopia
262,DJI,Djibouti
,,Somaliland
800,UGA,Uganda
646,RWA,Rwanda
070,BIH,Bosnia and Herz.
807,MKD,Macedonia
688,SRB,Serbia
499,MNE,Montenegro
,XKS,Kosovo
780,TTO,Trinidad and Tobago
728,SSD,S. Sudan
